say	17835
great	19193
down	19276
know	19378
two	19565
before	19667
see	20188
good	21226
little	21296
such	21308
like	21373
should	22808
about	22936
must	22975
can	23383
may	23820
these	24047
very	24218
now	24781
only	24872
us	25394
Mr	25663
than	26224
any	26491
time	26970
then	28036
But	29016
could	29046
some	29223
other	29271
has	29748
your	30254
do	30663
into	30815
up	31040
He	31289
our	31393
its	31589
It	32245
man	32323
more	32477
And	32670
out	33352
who	34037
what	34489
she	34781
when	35576
been	38381
upon	38781
if	40012
there	41028
will	43307
would	44479
them	45393
no	45451
said	45925
their	46592
were	48443
an	49425
one	54833
so	55711
her	57545
they	59390
we	59663
me	61023
are	63511
him	64819
or	66521
all	67115
from	67407
The	69329
on	72390
this	74348
my	75016
by	77113
at	78040
but	78981
have	84430
which	91712
had	93144
you	103688
not	103906
be	110402
for	116529
as	121771
with	124034
his	134448
he	137108
was	157515
it	171528
is	172101
that	211525
I	239087
in	272969
a	341428
to	407333
and	528174
of	548842
the	924350
